"ISSN","WH.","Location","Product ID","Curr Qty","Created Date","Company ID","Status","SSN Description","Pallet No. (Ext.)"
27770209,"FX","C1060301","avo005",144,"2008-04-14 15:58:17","WOOL","ST","Avocado 22 5kg Shepard  ",10381
27770208,"FX","C1050301","avo005",144,"2008-04-14 15:58:17","WOOL","ST","Avocado 22 5kg Shepard  ",10379
27770207,"FX","C1040301","avo005",144,"2008-04-14 15:58:17","WOOL","ST","Avocado 22 5kg Shepard  ",10373
27770206,"FX","C1070301","avo005",144,"2008-04-14 15:58:17","WOOL","ST","Avocado 22 5kg Shepard  ",10368
27770105,"FX","C1350301","avo003",144,"2008-04-14 15:56:55","WOOL","ST","Avocado 18 - 5kg Shepard  ",10382
27770104,"FX","C1320301","avo003",144,"2008-04-14 15:56:55","WOOL","ST","Avocado 18 - 5kg Shepard  ",10352
27770103,"FX","C1330301","avo003",144,"2008-04-14 15:56:55","WOOL","ST","Avocado 18 - 5kg Shepard  ",10345
27770102,"FX","C1310301","avo003",144,"2008-04-14 15:56:55","WOOL","ST","Avocado 18 - 5kg Shepard  ",10366
27770101,"FX","C1340301","avo003",144,"2008-04-14 15:56:55","WOOL","ST","Avocado 18 - 5kg Shepard  ",10349
27570105,"FX","C9R10103","avo003",144,"2008-04-10 10:47:43","WOOL","ST","Avocado 18 - 5kg Shepard  ",2327
27350206,"FX","C9L10204","avo005",144,"2008-04-07 07:21:22","WOOL","ST","Avocado 22 5kg Shepard  ",10297
27350205,"FX","C9L10106","avo005",144,"2008-04-07 07:21:22","WOOL","ST","Avocado 22 5kg Shepard  ",10301
27350204,"FX","C9L10107","avo005",144,"2008-04-07 07:21:22","WOOL","ST","Avocado 22 5kg Shepard  ",10306
27350103,"FX","C1240101","avo003",144,"2008-04-07 07:20:30","WOOL","ST","Avocado 18 - 5kg Shepard  ",10283
27350102,"FX","C9L10206","avo003",144,"2008-04-07 07:20:30","WOOL","ST","Avocado 18 - 5kg Shepard  ",10273
27340103,"FX","C1320301","avo005",144,"2008-04-07 07:18:44","WOOL","ST","Avocado 22 5kg Shepard  ",2110
26810219,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810218,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810217,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810216,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810215,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810214,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810213,"FX","DDFS0000","ora002",54,"2008-03-27 09:16:32",1400,"DS","Navel USA 18kg 72",
26810112,"FX","DDFS0000","ora001",42,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810111,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810110,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810109,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810108,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810107,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810106,"FX","C1000000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810105,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810104,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810103,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810102,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26810101,"FX","DDFS0000","ora001",54,"2008-03-27 09:15:13",1400,"DS","Navel USA 18kg 56   ",
26800111,"FX","DDFS0000","ora001",54,"2008-03-27 09:08:04",1400,"DS","Navel USA 18kg 56   ",
26800104,"FX","DDFS0000","ora001",54,"2008-03-27 09:08:04",1400,"DS","Navel USA 18kg 56   ",
26800103,"FX","DDFS0000","ora001",54,"2008-03-27 09:08:04",1400,"DS","Navel USA 18kg 56   ",
26760105,"FX","RD000002","asp001",80,"2008-03-26 11:55:41","FPGEXPORTS","DS","Asparagus (28) 5kg Large  ",
26760104,"FX","RD000002","asp001",100,"2008-03-26 11:55:41","FPGEXPORTS","DS","Asparagus (28) 5kg Large  ",
26760103,"FX","C2020101","asp001",100,"2008-03-26 11:55:41","FPGEXPORTS","ST","Asparagus (28) 5kg Large  ",
26760102,"FX","C2360101","asp001",100,"2008-03-26 11:55:41","FPGEXPORTS","ST","Asparagus (28) 5kg Large  ",
26760101,"FX","RD000002","asp001",100,"2008-03-26 11:55:41","FPGEXPORTS","DS","Asparagus (28) 5kg Large  ",
26630219,"FX","C1110101","ora002",54,"2008-03-20 10:05:43",1400,"ST","Navel USA 18kg 72",
26630218,"FX","RD000011","ora002",54,"2008-03-20 10:05:43",1400,"DX","Navel USA 18kg 72",
26630217,"FX","RD000011","ora002",54,"2008-03-20 10:05:43",1400,"DX","Navel USA 18kg 72",
26630216,"FX","RD000011","ora002",54,"2008-03-20 10:05:43",1400,"DX","Navel USA 18kg 72",
26630215,"FX","RD000011","ora002",54,"2008-03-20 10:05:43",1400,"DS","Navel USA 18kg 72",
26630214,"FX","C1110202","ora002",54,"2008-03-20 10:05:43",1400,"ST","Navel USA 18kg 72",
26630213,"FX","C1110301","ora002",54,"2008-03-20 10:05:43",1400,"ST","Navel USA 18kg 72",
26630212,"FX","C1110204","ora002",54,"2008-03-20 10:05:43",1400,"ST","Navel USA 18kg 72",
26630211,"FX","C1110203","ora002",54,"2008-03-20 10:05:43",1400,"ST","Navel USA 18kg 72",
26630110,"FX","C1100101","ora001",50,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26630109,"FX","C1100104","ora001",54,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26630108,"FX","C1100204","ora001",54,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26630107,"FX","C1100102","ora001",54,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26630106,"FX","C1100203","ora001",54,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26630105,"FX","C1100202","ora001",54,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26630104,"FX","C1100201","ora001",54,"2008-03-20 10:04:33",1400,"ST","Navel USA 18kg 56   ",
26590219,"FX","C1360104","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590218,"FX","C1360202","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590217,"FX","C1360203","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590216,"FX","C1360204","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590215,"FX","C1360201","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590214,"FX","C1360101","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590213,"FX","C1360102","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590212,"FX","C1360103","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590211,"FX","C1360103","ora002",54,"2008-03-19 11:55:09",1400,"ST","Navel USA 18kg 72",
26590110,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590109,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590108,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590107,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590106,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590105,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590104,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590103,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590102,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26590101,"FX","DDFS0000","ora001",54,"2008-03-19 11:52:35",1400,"DS","Navel USA 18kg 56",
26580219,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580218,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580217,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580216,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580215,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580214,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580213,"FX","DDFS0000","ora002",54,"2008-03-19 08:28:10",1400,"DS","Navel USA 18kg 72  Airchief ",
26580112,"FX","DDFS0000","ora001",54,"2008-03-19 08:22:18",1400,"DS","Navel USA 18kg 56  Airchief ",
26580111,"FX","DDFS0000","ora001",54,"2008-03-19 08:22:18",1400,"DS","Navel USA 18kg 56  Airchief ",
