SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
27770209             FX     C1060301   ST          14-APR-2008      
27770208             FX     C1050301   ST          14-APR-2008      
27770207             FX     C1040301   ST          14-APR-2008      
27770206             FX     C1070301   ST          14-APR-2008      
27770105             FX     C1350301   ST          14-APR-2008      
27770104             FX     C1320301   ST          14-APR-2008      
27770103             FX     C1330301   ST          14-APR-2008      
27770102             FX     C1310301   ST          14-APR-2008      
27770101             FX     C1340301   ST          14-APR-2008      
27570105             FX     C9R10103   ST          11-APR-2008      
27350206             FX     C9L10204   ST          14-APR-2008      
27350205             FX     C9L10106   ST          14-APR-2008      
27350204             FX     C9L10107   ST          14-APR-2008      
27350103             FX     C1240101   ST           7-APR-2008      
27350102             FX     C9L10206   ST          14-APR-2008      
27340103             FX     C1320301   ST           7-APR-2008      
26810219             FX     DDFS0000   DS          28-MAR-2008      
26810218             FX     DDFS0000   DS          28-MAR-2008      
26810217             FX     DDFS0000   DS          28-MAR-2008      
26810216             FX     DDFS0000   DS          28-MAR-2008      
26810215             FX     DDFS0000   DS          28-MAR-2008      
26810214             FX     DDFS0000   DS          28-MAR-2008      
26810213             FX     DDFS0000   DS          28-MAR-2008      
26810112             FX     DDFS0000   DS          28-MAR-2008      
26810111             FX     DDFS0000   DS          28-MAR-2008      
26810110             FX     DDFS0000   DS          28-MAR-2008      
26810109             FX     DDFS0000   DS          28-MAR-2008      
26810108             FX     DDFS0000   DS          28-MAR-2008      
26810107             FX     DDFS0000   DS          28-MAR-2008      
26810106             FX     C1000000   DS          28-MAR-2008      
26810105             FX     DDFS0000   DS          28-MAR-2008      
26810104             FX     DDFS0000   DS          28-MAR-2008      
26810103             FX     DDFS0000   DS          28-MAR-2008      
26810102             FX     DDFS0000   DS          28-MAR-2008      
26810101             FX     DDFS0000   DS          28-MAR-2008      
26800111             FX     DDFS0000   DS          30-MAR-2008      
26800104             FX     DDFS0000   DS          30-MAR-2008      
26800103             FX     DDFS0000   DS          30-MAR-2008      
26760105             FX     RD000002   DS          14-APR-2008      
26760104             FX     RD000002   DS          14-APR-2008      
26760103             FX     C2020101   ST          27-MAR-2008      
26760102             FX     C2360101   ST          27-MAR-2008      
26760101             FX     RD000002   DS          14-APR-2008      
26630219             FX     C1110101   ST          20-MAR-2008      
26630218             FX     RD000011   DX          14-APR-2008      
26630217             FX     RD000011   DX          14-APR-2008      
26630216             FX     RD000011   DX          14-APR-2008      
26630215             FX     RD000011   DS          14-APR-2008      
26630214             FX     C1110202   ST          20-MAR-2008      
26630213             FX     C1110301   ST          20-MAR-2008      
26630212             FX     C1110204   ST          20-MAR-2008      
26630211             FX     C1110203   ST          20-MAR-2008      
26630110             FX     C1100101   ST          20-MAR-2008      
26630109             FX     C1100104   ST          20-MAR-2008      
26630108             FX     C1100204   ST          20-MAR-2008      
26630107             FX     C1100102   ST          20-MAR-2008      
26630106             FX     C1100203   ST          20-MAR-2008      
26630105             FX     C1100202   ST          20-MAR-2008      
26630104             FX     C1100201   ST          20-MAR-2008      
26590219             FX     C1360104   ST          19-MAR-2008      
26590218             FX     C1360202   ST          19-MAR-2008      
26590217             FX     C1360203   ST          19-MAR-2008      
26590216             FX     C1360204   ST          19-MAR-2008      
26590215             FX     C1360201   ST          19-MAR-2008      
26590214             FX     C1360101   ST          19-MAR-2008      
26590213             FX     C1360102   ST          19-MAR-2008      
26590212             FX     C1360103   ST          19-MAR-2008      
26590211             FX     C1360103   ST          19-MAR-2008      
26590110             FX     DDFS0000   DS          22-MAR-2008      
26590109             FX     DDFS0000   DS          22-MAR-2008      
26590108             FX     DDFS0000   DS          22-MAR-2008      
26590107             FX     DDFS0000   DS          22-MAR-2008      
26590106             FX     DDFS0000   DS          22-MAR-2008      
26590105             FX     DDFS0000   DS          22-MAR-2008      
26590104             FX     DDFS0000   DS          22-MAR-2008      
26590103             FX     DDFS0000   DS          22-MAR-2008      
26590102             FX     DDFS0000   DS          22-MAR-2008      
26590101             FX     DDFS0000   DS          22-MAR-2008      
26580219             FX     DDFS0000   DS          20-MAR-2008      
26580218             FX     DDFS0000   DS          20-MAR-2008      
26580217             FX     DDFS0000   DS          20-MAR-2008      
26580216             FX     DDFS0000   DS          20-MAR-2008      
26580215             FX     DDFS0000   DS          20-MAR-2008      
26580214             FX     DDFS0000   DS          20-MAR-2008      
26580213             FX     DDFS0000   DS          20-MAR-2008      
26580112             FX     DDFS0000   DS          20-MAR-2008      
26580111             FX     DDFS0000   DS          20-MAR-2008      
26580110             FX     DDFS0000   DS          20-MAR-2008      
26580109             FX     DDFS0000   DS          20-MAR-2008      
26580108             FX     DDFS0000   DS          20-MAR-2008      
26580107             FX     DDFS0000   DS          20-MAR-2008      
26580106             FX     DDFS0000   DS          20-MAR-2008      
26580105             FX     DDFS0000   DS          20-MAR-2008      
26580104             FX     DDFS0000   DS          20-MAR-2008      
26580103             FX     DDFS0000   DS          20-MAR-2008      
26580102             FX     DDFS0000   DS          20-MAR-2008      
26580101             FX     DDFS0000   DS          20-MAR-2008      
26490119             FX     GZ1101R1   ST          18-MAR-2008      
26490118             FX     DDFS0000   DS          22-MAR-2008      
26490117             FX     GZ1203L1   ST          18-MAR-2008      
26490116             FX     GZ1201L1   ST          18-MAR-2008      
26490115             FX     DDFS0000   DS          22-MAR-2008      
26490114             FX     GZ1102R1   ST          18-MAR-2008      
26490113             FX     GZ1101R1   ST          18-MAR-2008      
26490112             FX     DDFS0000   DS          22-MAR-2008      
26490111             FX     GZ1002L1   ST          18-MAR-2008      
26490110             FX     GZ1001L1   ST          18-MAR-2008      
26490109             FX     DDFS0000   DS          22-MAR-2008      
26490108             FX     DDFS0000   DS          22-MAR-2008      
26490107             FX     GZ0901R1   ST          18-MAR-2008      
26490106             FX     GZ0903R1   ST          18-MAR-2008      
26490105             FX     GZ0703R1   ST          18-MAR-2008      
26490104             FX     GZ0802L1   ST          18-MAR-2008      
26490103             FX     GZ0702R1   ST          18-MAR-2008      
26490102             FX     GZ0801L1   ST          18-MAR-2008      
26490101             FX     GZ0701R1   ST          18-MAR-2008      
26320409             FX     DDFS0000   DS          15-MAR-2008      
26320408             FX     DDFS0000   DS          15-MAR-2008      
26320407             FX     DDFS0000   DS          15-MAR-2008      
26320306             FX     DDFS0000   DS          15-MAR-2008      
26320305             FX     DDFS0000   DS          15-MAR-2008      
26320204             FX     DDFS0000   DS          15-MAR-2008      
26320203             FX     DDFS0000   DS          15-MAR-2008      
26320202             FX     DDFS0000   DS          15-MAR-2008      
26320101             FX     C1190101   ST          13-MAR-2008      
26290219             FX     DDFS0000   DS          17-MAR-2008      
26290218             FX     DDFS0000   DS          17-MAR-2008      
26290217             FX     DDFS0000   DS          17-MAR-2008      
26290216             FX     DDFS0000   DS          17-MAR-2008      
26290215             FX     DDFS0000   DS          17-MAR-2008      
26290214             FX     DDFS0000   DS          17-MAR-2008      
26290213             FX     DDFS0000   DS          17-MAR-2008      
26290212             FX     DDFS0000   DS          17-MAR-2008      
26290211             FX     DDFS0000   DS          17-MAR-2008      
26290210             FX     DDFS0000   DS          17-MAR-2008      
26290109             FX     DDFS0000   DS          17-MAR-2008      
26290108             FX     DDFS0000   DS          17-MAR-2008      
26290107             FX     DDFS0000   DS          17-MAR-2008      
26290106             FX     DDFS0000   DS          17-MAR-2008      
