SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
20050101             XD     C3260303   DX          19-NOV-2007      
20050102             XD     C3260304   DX          19-NOV-2007      
20050103             XD     RD000010   DX          19-NOV-2007      
20050104             XD     RD000010   DX          19-NOV-2007      
20050105             XD     RD000010   DX          19-NOV-2007      
20050106             XD     RD000010   DX          19-NOV-2007      
20050107             XD     RD000010   DX          19-NOV-2007      
20050108             XD     RD000010   DX          19-NOV-2007      
20050109             XD     C3260302   DX          19-NOV-2007      
20050110             XD     C3260301   DX          19-NOV-2007      
20050111             XD     RD000010   DX          19-NOV-2007      
20060101             XD     RD000010   DX          19-NOV-2007      
20060102             XD     C3250302   DX          19-NOV-2007      
20060103             XD     RD000010   DX          19-NOV-2007      
20060104             XD     RD000010   DX          19-NOV-2007      
20060105             XD     C3250301   DX          19-NOV-2007      
20060106             XD     RD000010   DX          19-NOV-2007      
20060107             XD     RD000010   DX          19-NOV-2007      
20060108             XD     C3250303   DX          19-NOV-2007      
20060109             XD     C3250304   DX          19-NOV-2007      
20130101             XD     RD000002   DX          19-NOV-2007      
20130102             XD     RD000002   DX          19-NOV-2007      
20130103             XD     RD000002   DX          19-NOV-2007      
20130104             XD     RD000002   DX          19-NOV-2007      
20130105             XD     RD000002   DX          19-NOV-2007      
20130106             XD     RD000002   DX          19-NOV-2007      
20130107             XD     RD000002   DX          19-NOV-2007      
20130108             XD     RD000002   DX          19-NOV-2007      
20130109             XD     RD000002   DX          19-NOV-2007      
20130110             XD     RD000002   DX          19-NOV-2007      
20130111             XD     RD000002   DX          19-NOV-2007      
20130112             XD     RD000002   DX          19-NOV-2007      
20130113             XD     RD000002   DX          19-NOV-2007      
20130114             XD     RD000002   DX          19-NOV-2007      
20130115             XD     RD000002   DX          19-NOV-2007      
20130116             XD     RD000002   DX          19-NOV-2007      
20130117             XD     RD000002   DX          19-NOV-2007      
20130118             XD     RD000002   DX          19-NOV-2007      
20140101             XD     RD000002   DX          19-NOV-2007      
20140102             XD     RD000002   DX          19-NOV-2007      
20140103             XD     RD000002   DX          19-NOV-2007      
20140104             XD     RD000002   DX          19-NOV-2007      
20140105             XD     RD000002   DX          19-NOV-2007      
20140106             XD     RD000002   DX          19-NOV-2007      
20140107             XD     RD000002   DX          19-NOV-2007      
20140108             XD     RD000002   DX          19-NOV-2007      
20140109             XD     RD000002   DX          19-NOV-2007      
20140110             XD     RD000002   DX          19-NOV-2007      
20140111             XD     RD000002   DX          19-NOV-2007      
20140112             XD     RD000002   DX          19-NOV-2007      
20140213             XD     RD000002   DX          19-NOV-2007      
20140214             XD     RD000002   DX          19-NOV-2007      
20140215             XD     RD000002   DX          19-NOV-2007      
20140216             XD     RD000002   DX          19-NOV-2007      
20140217             XD     RD000002   DX          19-NOV-2007      
20140218             XD     RD000002   DX          19-NOV-2007      
20140219             XD     RD000002   DX          19-NOV-2007      
20140220             XD     RD000002   DX          19-NOV-2007      
20180101             XD     RD000010   DX          19-NOV-2007      
20180102             XD     RD000010   DX          19-NOV-2007      
20180103             XD     RD000010   DX          19-NOV-2007      
20180104             XD     RD000010   DX          19-NOV-2007      
20180105             XD     RD000010   DX          19-NOV-2007      
20180106             XD     RD000010   DX          19-NOV-2007      
20180107             XD     RD000010   DX          19-NOV-2007      
20180108             XD     RD000010   DX          19-NOV-2007      
20180109             XD     RD000010   DX          19-NOV-2007      
20180110             XD     RD000010   DX          19-NOV-2007      
