Field Name	Domain Name	Type
RECORD_ID	RECORD_ID	INTEGER
PS_PICK_ORDER	PICK_ORDER	VARCHAR(15)
PS_PICK_ORDER_LINE_NO	PICK_ORDER_LINE_NO	CHAR(4)
PS_DESPATCH_ID	DESPATCH_ID	INTEGER
PS_SSCC	SSCC_IDNote 2.	VARCHAR(20)
PS_SSCC_STATUS	CODE_TWO	CHAR(2)
PS_PICK_ORDER_DATE	DATE_YYYYMMDD	VARCHAR(8)
PS_SCHED_DEL_DATE	DATE_YYYYMMDD	VARCHAR(8)
PS_SCHED_DEL_TIME	TIME_HH_MM	CHAR(5)
PS_AWB_CONSIGNMENT_NO	AWB_CONSIGNMENT_NO	VARCHAR(20)
PS_CARRIER_ID	SHIP_VIA	VARCHAR(10)
PS_EDI_ASN	EDI_ASN	VARCHAR(10)
PS_DESPATCHED_DATE	DATE_YYYYMMDD	VARCHAR(8)
PS_ORDER_TYPE_CODE	CODE_THREE	CHAR(3)
PS_ORDER_TYPE_DESC	ORDER_DESC	VARCHAR(30)
PS_PO_PURPOSE_CODE	CODE_TWO	CHAR(2)
PS_PO_PURPOSE_DESC	ORDER_DESC	VARCHAR(30)
PS_PO_SUBSET_NO	CODE_THREE	CHAR(3)
PS_PO_NO_SUBSET_NO	ORDER_DESC	VARCHAR(30)
PS_CUSTOMER_EDI_NO	EDI_NO	VARCHAR(35)
PS_CUSTOMER_IN_HOUSE_NO	EDI_NO	VARCHAR(35)
PS_ASN_VENDOR_NO	EDI_NO	VARCHAR(35)
PS_VENDOR_EDI_NO	EDI_NO	VARCHAR(35)
PS_VENDOR_IN_HOUSE_NO	EDI_NO	VARCHAR(35)
PS_DEL_TO_DC_NO	EDI_LOCN_NO	VARCHAR(20)
PS_DEL_TO_DC_IN_HOUSE_NO	EDI_LOCN_NO	VARCHAR(20)
PS_DEL_TO_STORE_NO	EDI_LOCN_NO	VARCHAR(20)
PS_DEL_TO_STORE_IN_HOUSE_NO	EDI_LOCN_NO	VARCHAR(20)
PS_BILL_TO_PARTNER_NO	EDI_LOCN_NO	VARCHAR(20)
PS_BILL_TO_PARTNER_IN_HOUSE_NO	EDI_LOCN_NO	VARCHAR(20)
PS_CLASS_GROUP_DESC	ORDER_DESC	VARCHAR(30)
PS_ADVERT_DATE_QLF	CODE_THREE	CHAR(3)
PS_ADVERTISED_DATE	DATE_DDMM	CHAR(4)
PS_CANCEL_AFTER_DATE	DATE_YYYYMMDD	VARCHAR(8)
PS_PRODUCT_QUALIFIER	CODE_TWO	CHAR(2)
PS_PRODUCT_CODE	PRODUCT	VARCHAR(30) 
PS_PRODUCT_GTIN	PRODUCT	VARCHAR(30) 
PS_PRODUCT_DESC	CODE	VARCHAR(40)
PS_QTY_ORDERED	QTY	INTEGER
PS_QTY_SHIPPED	QTY	INTEGER
PS_ORDERED_UOM	CODE_TWO	CHAR(2)
PS_SALE_PRICE_CODE	CODE_TWO	CHAR(2)
PS_SALE_PRICE	UNIT_PRICE	DOUBLE PRECISION
PS_SALE_IN_HOUSE_PRICE	UNIT_PRICE	DOUBLE PRECISION
PS_SALE_PRICE_VARIANCE	UNIT_PRICE	DOUBLE PRECISION
PS_LINE_COST	UNIT_PRICE	DOUBLE PRECISION
PS_SALE_RETAIL_PRICE	UNIT_PRICE	DOUBLE PRECISION
PS_POS_KEY_CODE	CODE	VARCHAR(40)
PS_TOTAL_ORDER_AMOUNT	UNIT_PRICE	DOUBLE PRECISION
PS_TOTAL_ORDER_QTY	QTY	INTEGER
PS_ORDERED_BY_UOM_GTIN	QTY	INTEGER
PS_ORDERED_BY_GTIN	TBA	TBA
PS_USE_BY_DATE	DATE_YYYYMMDD	VARCHAR(8)
PS_BATCH_NO	BATCH	VARCHAR(10)
PS_SSCC_WEIGHT	WEIGHT_DECIMAL3	DECIMAL(4,3)
PS_SSCC_WEIGHT_UOM	UOM	VARCHAR(10)
PS_SSCC_DIM_X	DIM_DECIMAL3	NUMERIC(9,3)
PS_SSCC_DIM_Y	DIM_DECIMAL3	NUMERIC(9,3)
PS_SSCC_DIM_Z	DIM_DECIMAL3	NUMERIC(9,3)
PS_SSCC_DIM_UOM	UOM	VARCHAR(10)
PS_SSCC_CUBIC	VOLUME	DOUBLE_PRECISION
PS_SSCC_VOL_UOM	UOM	VARCHAR(10)
PS_TOTAL_OUTERS	QTY	INTEGER
PS_OUTER_BARCODE	GTIN14	VARCHAR(16)
PS_INNERS_PER_OUTER	QTY	INTEGER
PS_ISSUES_PER_INNER	QTY	INTEGER
PS_STORE_DEPT_NO	EDI_LOCN_NO	VARCHAR(20)
PS_OTHER1	CODE	VARCHAR(40)
PS_OTHER2	CODE	VARCHAR(40)
PS_LABEL_PRINTED_DATE	LABEL_DATE	TIMESTAMP
PS_CREATE_DATE	CREATE_DATE	TIMESTAMP
PS_CREATED_BY	USER_ID	VARCHAR(10)
PS_LAST_UPDATED	CREATE_DATE	TIMESTAMP
PS_LAST_UPDATE_BY	USER_ID	VARCHAR(10)
